"cli -c ""show log messages|no-more ""  " 
"Nov 11 22:28:46.291  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 22:28:47.217  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64596412)"
"Nov 11 22:28:57.438  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Memory Error"
"Nov 11 22:28:57.442  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Test Name:Unique Address (Top-Down)"
"Nov 11 22:28:57.447  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Count: 1"
"Nov 11 22:28:57.453  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Address: Raw: 0x00000000019a02b8 Cell: 0x000000000006680a, Burst: 0, Bank: 7"
"Nov 11 22:28:57.606  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Actual Data:   0x000000000000002febcbdaf0004c0013"
"Nov 11 22:28:57.722  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Expected Data: 0x000000000000002febcbfaf0004c0013"
"Nov 11 22:28:57.849  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Vector Data:   0x00000000000000000000000000000200"
"Nov 11 22:28:57.876  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 22:28:57.876  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:28:57.876  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:28:57.967  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Vector:   0x00000000000000000000200000000000"
"Nov 11 22:28:58.082  timex-re0 : %PFE-0: fpc3 LUCHIP(2): Bist RLDRAM 2 failed, FRU:U3656 (LUCHIP2_RLDRAM2)"
"Nov 11 22:28:58.116  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64596412)"
"Nov 11 22:28:58.116  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:28:58.116  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 22:28:58.185  timex-re0 : %PFE-3: fpc3 CMT: LU2 init failed, generic failure"
"Nov 11 22:28:58.261  timex-re0 : %PFE-3: fpc3 CMT: Failed to init LU chip 2.0"
"Nov 11 22:29:01.401  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64597830)"
"Nov 11 22:29:04.105  timex-re0 : %PFE-3: fpc3 CMT: Failed to start ASICs, PFE ID 2"
"Nov 11 22:29:12.578  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 22:29:12.578  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:12.579  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:29:12.818  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64597830)"
"Nov 11 22:29:12.818  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:12.819  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 22:29:13.744  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64599064)"
"Nov 11 22:29:18.709  timex-re0 : %PFE-0: fpc3 CMT: Fatal ASIC initialization error, Offlining FPC"
"Nov 11 22:29:18.983  timex-re0 : %PFE-3: fpc3 HSL2: Missing end/ends for table-trained/channel-trained channel in offset 40"
"Nov 11 22:29:19.098  timex-re0 : %PFE-3: fpc3 HSL2: Table-trained sub_table 0 failed verification."
"Nov 11 22:29:19.186  timex-re0 : %PFE-3: fpc3 HSL2: cmtfpc_hsl2_bringup: hsl2_table_trained_bringup failed (1)"
"Nov 11 22:29:19.287  timex-re0 : %PFE-3: fpc3 CMT: Failed to initialize HSL2 channels: generic failure"
"Nov 11 22:29:19.380  timex-re0 : %PFE-0: fpc3 CMT: Error initializing PFE asics"
"Nov 11 22:29:19.455  timex-re0 : %PFE-3: fpc3 CMLC: Master closed connection (errno=38)"
"Nov 11 22:29:19.532  timex-re0 : %PFE-0: fpc3 CMLC: Chassis Manager terminated"
"Nov 11 22:29:24.145  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 22:29:24.145  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:24.145  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:29:24.383  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64599064)"
"Nov 11 22:29:24.383  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:24.383  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 22:29:28.099  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64600500)"
"Nov 11 22:29:31.949  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.6+53814"
"Nov 11 22:29:31.949  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.6+53814 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.6+53814"
"Nov 11 22:29:38.884  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 22:29:38.884  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:38.884  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:29:39.123  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64600500)"
"Nov 11 22:29:39.123  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:39.124  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 22:29:40.050  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64601695)"
"Nov 11 22:29:41.411  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.31+54181"
"Nov 11 22:29:41.411  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.31+54181 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.31+54181"
"Nov 11 22:29:41.566  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.7+53313"
"Nov 11 22:29:41.566  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.7+53313 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.7+53313"
"Nov 11 22:29:42.046  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/500/5"
"Nov 11 22:29:42.046  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:33072) Foreign(0x80000013:51210)"
"Nov 11 22:29:44.516  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 22:29:44.516  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6157) Foreign(0x80000013:51211)"
"Nov 11 22:29:44.516  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 22:29:44.516  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6166) Foreign(0x80000013:51209)"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:32780) Foreign(0x80000013:51207)"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6234) Foreign(0x80000013:51205)"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-4: peer_input_pending_internal: 6078: peer class: 0, type: 17, index: 3, vksid: 0, state: 2 reported a so_error 60"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-4: peer_input_pending_internal: 6078: peer class: 0, type: 17, index: 3, vksid: 0, state: 2 reported a so_error 60"
"Nov 11 22:29:44.925  timex-re0 kernel: %KERN-4: peer_inputs: 6385: Closing connection peer class: 0, type: 17, index: 3, vksid: 0, state: 2, err 5"
"Nov 11 22:29:51.131  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.26+63679"
"Nov 11 22:29:51.131  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.26+63679 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.26+63679"
"Nov 11 22:29:51.748  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 22:29:51.748  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:51.748  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:29:51.987  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64601695)"
"Nov 11 22:29:51.987  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:29:51.987  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 22:29:55.050  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64603195)"
"Nov 11 22:30:05.605  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 22:30:05.606  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:05.606  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:30:05.846  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64603195)"
"Nov 11 22:30:05.846  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:05.847  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 22:30:06.772  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64604367)"
"Nov 11 22:30:09.978  timex-re0 : %PFE-5: fpc3 Ukern event counter Sock_tx init delayed"
"Nov 11 22:30:09.978  timex-re0 : %PFE-5: fpc3 Ukern event counter Sock_rx init delayed"
"Nov 11 22:30:11.055  timex-re0 : %PFE-3: fpc3 CLKSYNC: failed to connect to Master"
"Nov 11 22:30:11.233  timex-re0 : %PFE-3: fpc3 RDMAN: Failed to connect to peer."
"Nov 11 22:30:12.230  timex-re0 : %PFE-3: fpc3 L2ALM: failed to connect to Master"
"Nov 11 22:30:13.678  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_add init delayed"
"Nov 11 22:30:13.749  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_chg init delayed"
"Nov 11 22:30:13.819  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_del init delayed"
"Nov 11 22:30:14.189  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_add init delayed"
"Nov 11 22:30:14.262  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_chg init delayed"
"Nov 11 22:30:14.335  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_del init delayed"
"Nov 11 22:30:14.730  timex-re0 : %PFE-5: fpc3 pfe_pme_max 25"
"Nov 11 22:30:15.728  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.34+58950"
"Nov 11 22:30:15.728  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.34+58950 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.34+58950"
"Nov 11 22:30:15.962  timex-re0 : %PFE-5: fpc3 CLKSYNC: master RE connection made"
"Nov 11 22:30:16.519  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.33+62720"
"Nov 11 22:30:16.519  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.33+62720 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.33+62720"
"Nov 11 22:30:16.812  timex-re0 : %PFE-5: fpc3 L2ALM master RE connection made"
"Nov 11 22:30:18.601  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 22:30:18.601  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:18.601  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:30:18.840  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64604367)"
"Nov 11 22:30:18.841  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:18.841  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 22:30:21.909  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64605881)"
"Nov 11 22:30:33.970  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 22:30:33.970  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:33.970  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 22:30:34.210  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64605881)"
"Nov 11 22:30:34.210  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 22:30:34.211  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 22:30:34.899  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.22+56200"
"Nov 11 22:30:34.953  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.22+56200 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.22+56200"
"Nov 11 22:30:35.135  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 64607204)"
"Nov 11 22:30:42.819  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Memory Error"
"Nov 11 22:30:42.826  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Test Name:Unique Address (Top-Down)"
"Nov 11 22:30:42.832  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Count: 1"
"Nov 11 22:30:42.837  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Address: Raw: 0x0000000001ca02b8 Cell: 0x000000000007280a, Burst: 0, Bank: 7"
"Nov 11 22:30:42.991  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Actual Data:   0x00000000000000afebebbaf000440011"
"Nov 11 22:30:43.111  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Expected Data: 0x00000000000000afebebfaf000440011"
"Nov 11 22:30:43.221  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Vector Data:   0x00000000000000000000000000000400"
"Nov 11 22:30:43.344  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Vector:   0x00000000000000000000400000000000"
"Nov 11 22:30:43.467  timex-re0 : %PFE-0: fpc3 LUCHIP(2): Bist RLDRAM 2 failed, FRU:U3656 (LUCHIP2_RLDRAM2)"
"Nov 11 22:30:43.570  timex-re0 : %PFE-3: fpc3 CMT: LU2 init failed, generic failure"
"Nov 11 22:30:43.643  timex-re0 : %PFE-3: fpc3 CMT: Failed to init LU chip 2.0"
"Nov 11 22:30:46.396  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
